"miles","passengers","delay","inflight_meal","inflight_entertainment","inflight_wifi","day_of_week","redeye","weekend","coach_price","firstclass_price","hours","new_miles","new_passengers","new_coach_price","new_firstclass_price"
4107,208,11,"Yes","Yes","Yes","Sunday","No","Yes",476.685,1793.84,7,14122,10223,10491.685,11808.84
1100,207,9,"No","Yes","Yes","Saturday","No","Yes",431.72,1562.93,2,11115,10222,10446.72,11577.93
2597,216,10,"No","No","Yes","Tuesday","No","No",328.715,1342.08,5,12612,10231,10343.715,11357.08
1712,202,14,"No","Yes","Yes","Monday","No","No",358.47,1232.63,3,11727,10217,10373.47,11247.63
3711,212,13,"Yes","Yes","Yes","Sunday","No","Yes",520.005,1795.73,7,13726,10227,10535.005,11810.73
3044,206,22,"No","Yes","Yes","Friday","No","Yes",436.72,1692.2,6,13059,10221,10451.72,11707.2
4227,216,26,"Yes","Yes","Yes","Tuesday","No","No",413.285,1440.04,8,14242,10231,10428.285,11455.04
818,195,13,"No","Yes","Yes","Friday","No","Yes",370.68,1542.52,1,10833,10210,10385.68,11557.52
1514,203,0,"Yes","No","Yes","Friday","No","Yes",415.47,1489.57,3,11529,10218,10430.47,11504.57
1493,208,8,"No","Yes","Yes","Friday","No","Yes",361.965,1570.92,3,11508,10223,10376.965,11585.92
809,205,0,"No","Yes","Yes","Friday","No","Yes",356.045,1515.06,1,10824,10220,10371.045,11530.06
1850,212,10,"No","Yes","Yes","Sunday","No","Yes",399.38,1573.53,3,11865,10227,10414.38,11588.53
2631,214,32,"No","Yes","Yes","Monday","No","No",350.845,1328.11,5,12646,10229,10365.845,11343.11
997,156,38,"Yes","Yes","Yes","Saturday","Yes","Yes",365.125,1455.13,2,11012,10171,10380.125,11470.13
3865,211,7,"No","Yes","Yes","Wednesday","No","No",372.365,1386.49,7,13880,10226,10387.365,11401.49
1693,220,27,"Yes","Yes","Yes","Sunday","No","Yes",454.645,1607.19,3,11708,10235,10469.645,11622.19
1893,226,10,"No","No","No","Friday","No","Yes",204.205,1377.74,3,11908,10241,10219.205,11392.74
513,215,0,"No","Yes","Yes","Friday","No","Yes",387.935,1566.91,1,10528,10230,10402.935,11581.91
869,211,15,"Yes","Yes","Yes","Tuesday","No","No",289.065,1185.6,2,10884,10226,10304.065,11200.6
838,206,37,"No","Yes","Yes","Wednesday","No","No",324.86,1221.57,2,10853,10221,10339.86,11236.57
3982,214,9,"Yes","Yes","Yes","Friday","No","Yes",531.44,1718.1,7,13997,10229,10546.44,11733.1
3106,200,10,"Yes","Yes","No","Wednesday","No","No",354.11,1279.3,6,13121,10215,10369.11,11294.3
1869,201,10,"No","Yes","Yes","Monday","No","No",366.535,1330.92,3,11884,10216,10381.535,11345.92
2582,219,16,"No","No","Yes","Wednesday","No","No",303.31,1276.68,5,12597,10234,10318.31,11291.68
2266,213,12,"No","Yes","Yes","Friday","No","Yes",414.85,1691.67,4,12281,10228,10429.85,11706.67
2303,205,12,"No","Yes","Yes","Sunday","No","Yes",392.695,1552.88,4,12318,10220,10407.695,11567.88
1681,207,12,"Yes","Yes","Yes","Tuesday","No","No",360.965,1341.41,3,11696,10222,10375.965,11356.41
1198,215,7,"No","Yes","Yes","Saturday","No","Yes",389.84,1504.31,2,11213,10230,10404.84,11519.31
2041,202,11,"No","Yes","Yes","Wednesday","No","No",340.965,1277.53,4,12056,10217,10355.965,11292.53
1174,209,30,"No","Yes","Yes","Monday","No","No",347.58,1202.33,2,11189,10224,10362.58,11217.33
1043,153,32,"No","Yes","Yes","Monday","Yes","No",244.025,1196.05,2,11058,10168,10259.025,11211.05
627,214,37,"No","Yes","Yes","Monday","No","No",306.515,1284.66,1,10642,10229,10321.515,11299.66
2066,155,32,"Yes","Yes","Yes","Friday","Yes","Yes",391.43,1611.54,4,12081,10170,10406.43,11626.54
2793,207,7,"Yes","Yes","Yes","Saturday","No","Yes",510.765,1614.53,5,12808,10222,10525.765,11629.53
1666,214,12,"No","Yes","Yes","Saturday","No","Yes",375.86,1589.86,3,11681,10229,10390.86,11604.86
2184,201,0,"Yes","Yes","Yes","Saturday","No","Yes",494.61,1602.89,4,12199,10216,10509.61,11617.89
2407,217,9,"Yes","Yes","Yes","Sunday","No","Yes",458.135,1589.81,4,12422,10232,10473.135,11604.81
2679,214,12,"Yes","Yes","Yes","Saturday","No","Yes",477.065,1646.63,5,12694,10229,10492.065,11661.63
3973,224,10,"Yes","Yes","Yes","Thursday","No","No",398.395,1396.73,7,13988,10239,10413.395,11411.73
841,214,13,"No","Yes","Yes","Friday","No","Yes",341.085,1514.84,2,10856,10229,10356.085,11529.84
1043,220,13,"No","Yes","No","Tuesday","No","No",290.055,1122.32,2,11058,10235,10305.055,11137.32
2540,215,9,"Yes","Yes","Yes","Friday","No","Yes",448.88,1677.54,5,12555,10230,10463.88,11692.54
1955,208,0,"No","Yes","Yes","Monday","No","No",371.725,1294.22,4,11970,10223,10386.725,11309.22
2433,229,0,"No","Yes","Yes","Saturday","No","Yes",372.645,1591.53,4,12448,10244,10387.645,11606.53
3880,206,8,"No","No","Yes","Saturday","No","Yes",431.53,1668.02,7,13895,10221,10446.53,11683.02
2266,208,12,"No","No","Yes","Sunday","No","Yes",370.67,1426.87,4,12281,10223,10385.67,11441.87
2210,212,9,"No","Yes","Yes","Monday","No","No",303.4,1325.23,4,12225,10227,10318.4,11340.23
1631,203,28,"No","No","Yes","Tuesday","No","No",298.475,1214.27,3,11646,10218,10313.475,11229.27
2506,207,8,"Yes","Yes","Yes","Sunday","No","Yes",436.85,1616.9,5,12521,10222,10451.85,11631.9
1431,212,6,"Yes","Yes","Yes","Monday","No","No",343.285,1293.82,3,11446,10227,10358.285,11308.82
650,204,8,"No","Yes","Yes","Saturday","No","Yes",408.52,1538.77,1,10665,10219,10423.52,11553.77
882,197,9,"No","Yes","Yes","Friday","No","Yes",443.57,1517.87,2,10897,10212,10458.57,11532.87
2167,219,0,"No","No","Yes","Saturday","No","Yes",373.785,1501.96,4,12182,10234,10388.785,11516.96
2100,207,22,"No","Yes","Yes","Saturday","No","Yes",469.84,1564.18,4,12115,10222,10484.84,11579.18
1641,178,21,"No","Yes","Yes","Wednesday","Yes","No",299.485,1173.8,3,11656,10193,10314.485,11188.8
1147,212,10,"Yes","Yes","No","Tuesday","No","No",256.255,1126.74,2,11162,10227,10271.255,11141.74
696,207,17,"No","Yes","Yes","Saturday","No","Yes",429.59,1539.1,1,10711,10222,10444.59,11554.1
1546,223,15,"No","Yes","Yes","Wednesday","No","No",360,1211.81,3,11561,10238,10375,11226.81
3933,214,9,"Yes","Yes","Yes","Thursday","No","No",443.095,1414.7,7,13948,10229,10458.095,11429.7
1938,227,12,"Yes","Yes","Yes","Sunday","No","Yes",444.67,1602.32,4,11953,10242,10459.67,11617.32
620,203,16,"No","Yes","Yes","Saturday","No","Yes",399.58,1561.82,1,10635,10218,10414.58,11576.82
2268,216,13,"No","Yes","No","Saturday","No","Yes",389.13,1480.96,4,12283,10231,10404.13,11495.96
1957,209,7,"No","Yes","Yes","Thursday","No","No",357.845,1336.09,4,11972,10224,10372.845,11351.09
644,219,13,"Yes","Yes","Yes","Sunday","No","Yes",438.98,1487.61,1,10659,10234,10453.98,11502.61
3103,204,7,"No","Yes","No","Monday","No","No",331.395,1234.86,6,13118,10219,10346.395,11249.86
1935,218,12,"No","Yes","Yes","Friday","No","Yes",401.975,1579.18,4,11950,10233,10416.975,11594.18
985,192,27,"Yes","Yes","Yes","Friday","No","Yes",423.055,1579.63,2,11000,10207,10438.055,11594.63
2023,211,9,"Yes","Yes","No","Monday","No","No",244.005,1244.96,4,12038,10226,10259.005,11259.96
2257,221,32,"No","Yes","Yes","Saturday","No","Yes",420.725,1576.18,4,12272,10236,10435.725,11591.18
667,204,0,"No","Yes","Yes","Monday","No","No",291.485,1204.74,1,10682,10219,10306.485,11219.74
524,202,11,"Yes","No","Yes","Sunday","No","Yes",406.56,1447.68,1,10539,10217,10421.56,11462.68
1018,207,9,"No","Yes","No","Saturday","No","Yes",371.4,1486.07,2,11033,10222,10386.4,11501.07
1806,220,8,"No","Yes","Yes","Saturday","No","Yes",389.77,1590.88,3,11821,10235,10404.77,11605.88
3940,221,26,"No","No","No","Monday","No","No",208.24,1233.43,7,13955,10236,10223.24,11248.43
1412,221,14,"No","Yes","Yes","Sunday","No","Yes",421.38,1565.34,3,11427,10236,10436.38,11580.34
1933,204,11,"No","Yes","Yes","Tuesday","No","No",343.255,1349.55,4,11948,10219,10358.255,11364.55
2303,203,10,"No","Yes","Yes","Saturday","No","Yes",426.425,1616.75,4,12318,10218,10441.425,11631.75
959,207,26,"No","Yes","Yes","Wednesday","No","No",315.995,1250.36,2,10974,10222,10330.995,11265.36
728,224,0,"No","Yes","Yes","Saturday","No","Yes",327.11,1582.63,1,10743,10239,10342.11,11597.63
2390,210,12,"No","No","Yes","Thursday","No","No",290.04,1276.5,4,12405,10225,10305.04,11291.5
1273,217,10,"No","Yes","No","Sunday","No","Yes",306.315,1500.82,2,11288,10232,10321.315,11515.82
1247,219,9,"Yes","Yes","Yes","Saturday","No","Yes",467.095,1630.44,2,11262,10234,10482.095,11645.44
3649,204,9,"No","Yes","Yes","Sunday","No","Yes",425.075,1635.46,7,13664,10219,10440.075,11650.46
2944,213,10,"No","Yes","Yes","Saturday","No","Yes",438.47,1653.78,5,12959,10228,10453.47,11668.78
595,209,11,"No","Yes","Yes","Friday","No","Yes",361.855,1500.87,1,10610,10224,10376.855,11515.87
4213,201,9,"No","Yes","Yes","Tuesday","No","No",385.965,1329.1,8,14228,10216,10400.965,11344.1
2367,207,12,"No","Yes","Yes","Thursday","No","No",381.695,1235.35,4,12382,10222,10396.695,11250.35
1984,214,11,"No","Yes","Yes","Monday","No","No",245.19,1250.87,4,11999,10229,10260.19,11265.87
2029,213,10,"No","Yes","Yes","Sunday","No","Yes",376.335,1423.69,4,12044,10228,10391.335,11438.69
3822,203,6,"No","Yes","No","Sunday","No","Yes",393.39,1597.96,7,13837,10218,10408.39,11612.96
2024,217,8,"No","Yes","Yes","Sunday","No","Yes",411.39,1546.89,4,12039,10232,10426.39,11561.89
1527,221,36,"Yes","Yes","Yes","Sunday","No","Yes",483.535,1548.17,3,11542,10236,10498.535,11563.17
2526,215,0,"No","Yes","Yes","Wednesday","No","No",430.96,1269.53,5,12541,10230,10445.96,11284.53
2165,219,8,"No","No","No","Friday","No","Yes",299.785,1414.85,4,12180,10234,10314.785,11429.85
3945,210,10,"No","Yes","Yes","Saturday","No","Yes",487.975,1799.92,7,13960,10225,10502.975,11814.92
1588,208,8,"No","Yes","Yes","Monday","No","No",260.09,1242.42,3,11603,10223,10275.09,11257.42
2163,209,11,"No","Yes","Yes","Tuesday","No","No",320.345,1302.51,4,12178,10224,10335.345,11317.51
2457,202,10,"No","Yes","Yes","Saturday","No","Yes",415.345,1628.74,4,12472,10217,10430.345,11643.74
1413,212,35,"No","Yes","Yes","Friday","No","Yes",427.595,1472.47,3,11428,10227,10442.595,11487.47
769,202,15,"No","Yes","Yes","Wednesday","No","No",285.875,1157.05,1,10784,10217,10300.875,11172.05
2407,204,12,"No","Yes","Yes","Tuesday","No","No",305.645,1278.74,4,12422,10219,10320.645,11293.74
3903,205,8,"Yes","Yes","Yes","Friday","No","Yes",496.215,1648.53,7,13918,10220,10511.215,11663.53
3282,208,10,"No","Yes","Yes","Wednesday","No","No",407.41,1320.1,6,13297,10223,10422.41,11335.1
796,212,7,"Yes","Yes","Yes","Sunday","No","Yes",439.5,1597.38,1,10811,10227,10454.5,11612.38
1969,217,9,"No","Yes","No","Monday","No","No",301.865,1229,4,11984,10232,10316.865,11244
2417,195,0,"No","Yes","Yes","Friday","No","Yes",376.435,1561.94,4,12432,10210,10391.435,11576.94
2461,214,20,"No","Yes","No","Sunday","No","Yes",339.825,1490.33,4,12476,10229,10354.825,11505.33
4071,222,21,"Yes","Yes","Yes","Monday","No","No",448.635,1441.58,7,14086,10237,10463.635,11456.58
1736,225,31,"Yes","Yes","Yes","Sunday","No","Yes",440.51,1572.17,3,11751,10240,10455.51,11587.17
3822,199,11,"No","Yes","Yes","Sunday","No","Yes",457.18,1646.55,7,13837,10214,10472.18,11661.55
1022,213,0,"No","Yes","Yes","Tuesday","No","No",347.38,1198.13,2,11037,10228,10362.38,11213.13
1632,210,5,"Yes","No","Yes","Friday","No","Yes",338.09,1516.99,3,11647,10225,10353.09,11531.99
1504,219,9,"Yes","No","No","Friday","No","Yes",268.26,1488.25,3,11519,10234,10283.26,11503.25
768,210,9,"No","Yes","Yes","Friday","No","Yes",347.75,1486.33,1,10783,10225,10362.75,11501.33
2026,224,13,"No","Yes","Yes","Tuesday","No","No",313.22,1278.62,4,12041,10239,10328.22,11293.62
1815,215,0,"No","Yes","Yes","Sunday","No","Yes",419.655,1550.24,3,11830,10230,10434.655,11565.24
988,173,8,"No","Yes","Yes","Sunday","Yes","Yes",354.23,1466.95,2,11003,10188,10369.23,11481.95
1874,211,8,"No","Yes","No","Sunday","No","Yes",361.43,1470.98,3,11889,10226,10376.43,11485.98
593,216,0,"Yes","Yes","Yes","Saturday","No","Yes",356.035,1515.46,1,10608,10231,10371.035,11530.46
621,204,11,"No","Yes","Yes","Sunday","No","Yes",364.825,1435.81,1,10636,10219,10379.825,11450.81
1219,220,9,"No","Yes","Yes","Wednesday","No","No",347.205,1176.82,2,11234,10235,10362.205,11191.82
1569,220,0,"No","Yes","Yes","Friday","No","Yes",451.045,1546.67,3,11584,10235,10466.045,11561.67
1840,216,14,"No","Yes","Yes","Tuesday","No","No",319.49,1349.91,3,11855,10231,10334.49,11364.91
2563,194,33,"No","Yes","Yes","Friday","No","Yes",424.285,1605.1,5,12578,10209,10439.285,11620.1
4192,207,12,"No","Yes","Yes","Sunday","No","Yes",477.69,1683.32,8,14207,10222,10492.69,11698.32
2751,209,13,"Yes","Yes","Yes","Saturday","No","Yes",444.235,1663.32,5,12766,10224,10459.235,11678.32
686,196,10,"No","Yes","Yes","Saturday","No","Yes",382.72,1547.62,1,10701,10211,10397.72,11562.62
1944,202,10,"No","Yes","Yes","Sunday","No","Yes",412.76,1518.9,4,11959,10217,10427.76,11533.9
1589,205,9,"Yes","Yes","Yes","Sunday","No","Yes",412.705,1565.04,3,11604,10220,10427.705,11580.04
1679,192,25,"Yes","Yes","Yes","Tuesday","No","No",350.395,1281.4,3,11694,10207,10365.395,11296.4
1806,216,8,"No","Yes","Yes","Sunday","No","Yes",404.69,1549.86,3,11821,10231,10419.69,11564.86
2561,158,31,"No","Yes","Yes","Saturday","Yes","Yes",394.045,1564.7,5,12576,10173,10409.045,11579.7
2248,212,11,"No","Yes","Yes","Sunday","No","Yes",429.98,1528.84,4,12263,10227,10444.98,11543.84
2168,198,9,"Yes","No","Yes","Saturday","No","Yes",388.78,1570.12,4,12183,10213,10403.78,11585.12
1535,210,28,"No","Yes","Yes","Sunday","No","Yes",415.645,1616.69,3,11550,10225,10430.645,11631.69
2968,207,9,"No","Yes","Yes","Friday","No","Yes",372.72,1643.3,5,12983,10222,10387.72,11658.3
2087,198,10,"Yes","Yes","Yes","Thursday","No","No",383.665,1296.33,4,12102,10213,10398.665,11311.33
935,204,10,"Yes","Yes","Yes","Sunday","No","Yes",400.125,1479.49,2,10950,10219,10415.125,11494.49
2345,207,12,"No","Yes","Yes","Saturday","No","Yes",425.455,1567.06,4,12360,10222,10440.455,11582.06
1747,210,27,"No","Yes","Yes","Sunday","No","Yes",468.475,1576.63,3,11762,10225,10483.475,11591.63
2075,218,8,"Yes","Yes","Yes","Saturday","No","Yes",493.065,1595.9,4,12090,10233,10508.065,11610.9
1323,216,11,"No","Yes","Yes","Friday","No","Yes",424.055,1562.5,2,11338,10231,10439.055,11577.5
958,219,10,"No","Yes","Yes","Saturday","No","Yes",416.08,1470.35,2,10973,10234,10431.08,11485.35
1097,221,9,"No","Yes","Yes","Saturday","No","Yes",410.075,1575.78,2,11112,10236,10425.075,11590.78
2295,202,11,"No","Yes","Yes","Saturday","No","Yes",438.105,1564.81,4,12310,10217,10453.105,11579.81
751,207,11,"Yes","Yes","Yes","Friday","No","Yes",416.995,1608.23,1,10766,10222,10431.995,11623.23
2672,227,11,"No","Yes","Yes","Monday","No","No",351.31,1322.58,5,12687,10242,10366.31,11337.58
2574,214,7,"No","Yes","Yes","Thursday","No","No",414.65,1340.51,5,12589,10229,10429.65,11355.51
1636,205,11,"Yes","Yes","Yes","Thursday","No","No",324.15,1210.69,3,11651,10220,10339.15,11225.69
670,213,8,"No","No","Yes","Sunday","No","Yes",323.8,1435.53,1,10685,10228,10338.8,11450.53
869,218,10,"Yes","No","Yes","Saturday","No","Yes",313.755,1458.81,2,10884,10233,10328.755,11473.81
2468,203,7,"No","Yes","Yes","Saturday","No","Yes",519.21,1556.93,4,12483,10218,10534.21,11571.93
941,225,9,"Yes","Yes","Yes","Saturday","No","Yes",412.335,1468.05,2,10956,10240,10427.335,11483.05
1803,209,11,"No","Yes","Yes","Sunday","No","Yes",409.085,1526.11,3,11818,10224,10424.085,11541.11
1884,218,8,"No","Yes","Yes","Wednesday","No","No",365.16,1320.64,3,11899,10233,10380.16,11335.64
732,218,11,"Yes","Yes","Yes","Friday","No","Yes",431.2,1504.42,1,10747,10233,10446.2,11519.42
2504,216,0,"No","Yes","Yes","Wednesday","No","No",317.11,1357.77,5,12519,10231,10332.11,11372.77
2426,221,9,"Yes","No","Yes","Monday","No","No",321.34,1224.35,4,12441,10236,10336.34,11239.35
716,214,48,"No","Yes","Yes","Saturday","No","Yes",445.28,1496.95,1,10731,10229,10460.28,11511.95
1986,190,30,"Yes","Yes","No","Tuesday","No","No",239.14,1223.49,4,12001,10205,10254.14,11238.49
2153,216,25,"No","Yes","Yes","Friday","No","Yes",417.445,1621.42,4,12168,10231,10432.445,11636.42
2004,215,11,"Yes","Yes","Yes","Saturday","No","Yes",396.61,1603.65,4,12019,10230,10411.61,11618.65
1779,215,24,"No","Yes","Yes","Sunday","No","Yes",402.495,1434.64,3,11794,10230,10417.495,11449.64
2135,209,0,"Yes","Yes","Yes","Wednesday","No","No",396.125,1358.71,4,12150,10224,10411.125,11373.71
3975,203,23,"No","Yes","Yes","Sunday","No","Yes",419.345,1676.2,7,13990,10218,10434.345,11691.2
1697,202,10,"No","Yes","Yes","Saturday","No","Yes",449.345,1510.03,3,11712,10217,10464.345,11525.03
1832,216,9,"No","No","Yes","Friday","No","Yes",337.98,1531.02,3,11847,10231,10352.98,11546.02
2064,212,0,"No","Yes","Yes","Sunday","No","Yes",429.99,1600.46,4,12079,10227,10444.99,11615.46
1418,206,6,"Yes","Yes","Yes","Tuesday","No","No",339.42,1250.41,3,11433,10221,10354.42,11265.41
4080,219,11,"Yes","Yes","Yes","Friday","No","Yes",501.24,1728.1,7,14095,10234,10516.24,11743.1
1398,220,21,"No","Yes","Yes","Tuesday","No","No",294.15,1301.4,3,11413,10235,10309.15,11316.4
2530,210,10,"No","Yes","Yes","Sunday","No","Yes",449.17,1598.97,5,12545,10225,10464.17,11613.97
1806,207,0,"No","Yes","Yes","Saturday","No","Yes",411.52,1491.82,3,11821,10222,10426.52,11506.82
1472,199,8,"Yes","Yes","Yes","Saturday","No","Yes",423.18,1608.44,3,11487,10214,10438.18,11623.44
2643,204,0,"No","Yes","Yes","Monday","No","No",367.115,1384.14,5,12658,10219,10382.115,11399.14
742,195,10,"No","Yes","Yes","Tuesday","No","No",380.65,1214.31,1,10757,10210,10395.65,11229.31
2585,213,11,"No","Yes","Yes","Thursday","No","No",389.555,1309.81,5,12600,10228,10404.555,11324.81
2120,215,0,"No","No","Yes","Saturday","No","Yes",362.4,1561.61,4,12135,10230,10377.4,11576.61
1635,209,11,"Yes","Yes","Yes","Sunday","No","Yes",389.365,1569.66,3,11650,10224,10404.365,11584.66
1675,220,9,"No","Yes","Yes","Friday","No","Yes",392.235,1565.2,3,11690,10235,10407.235,11580.2
851,208,12,"Yes","Yes","Yes","Friday","No","Yes",379.855,1569.93,2,10866,10223,10394.855,11584.93
2164,189,21,"No","Yes","Yes","Saturday","No","Yes",464.5,1564.52,4,12179,10204,10479.5,11579.52
1514,213,9,"Yes","No","Yes","Tuesday","No","No",251.43,1205.97,3,11529,10228,10266.43,11220.97
572,219,32,"No","Yes","Yes","Sunday","No","Yes",364.93,1460.84,1,10587,10234,10379.93,11475.84
4172,152,18,"Yes","No","Yes","Sunday","Yes","Yes",348.26,1732.77,8,14187,10167,10363.26,11747.77
651,201,0,"Yes","Yes","Yes","Sunday","No","Yes",417.815,1441.01,1,10666,10216,10432.815,11456.01
3046,202,9,"No","Yes","Yes","Sunday","No","Yes",451.96,1531.96,6,13061,10217,10466.96,11546.96
2233,220,14,"Yes","No","Yes","Saturday","No","Yes",385.755,1502.08,4,12248,10235,10400.755,11517.08
2032,227,11,"No","Yes","Yes","Sunday","No","Yes",424.07,1537.26,4,12047,10242,10439.07,11552.26
4029,214,9,"No","Yes","Yes","Sunday","No","Yes",503.655,1674.79,7,14044,10229,10518.655,11689.79
1626,206,11,"No","Yes","Yes","Thursday","No","No",281.62,1187.77,3,11641,10221,10296.62,11202.77
1501,204,8,"No","Yes","Yes","Wednesday","No","No",311.375,1268.81,3,11516,10219,10326.375,11283.81
3813,202,12,"No","Yes","Yes","Friday","No","Yes",486.905,1694.73,7,13828,10217,10501.905,11709.73
1845,204,12,"Yes","Yes","Yes","Wednesday","No","No",289.125,1282.5,3,11860,10219,10304.125,11297.5
1320,221,13,"No","No","Yes","Friday","No","Yes",378.65,1484.24,2,11335,10236,10393.65,11499.24
704,213,12,"No","Yes","Yes","Wednesday","No","No",301.92,1266.93,1,10719,10228,10316.92,11281.93
2722,200,11,"Yes","Yes","Yes","Saturday","No","Yes",389.36,1618.57,5,12737,10215,10404.36,11633.57
1909,219,31,"No","No","Yes","Friday","No","Yes",393.735,1476.74,3,11924,10234,10408.735,11491.74
4197,214,0,"Yes","Yes","Yes","Sunday","No","Yes",500.825,1722.51,8,14212,10229,10515.825,11737.51
1269,214,10,"Yes","Yes","Yes","Sunday","No","Yes",477.705,1511.36,2,11284,10229,10492.705,11526.36
788,211,12,"No","No","No","Thursday","No","No",137.75,1059.19,1,10803,10226,10152.75,11074.19
1548,168,34,"No","No","Yes","Saturday","Yes","Yes",261.01,1372.44,3,11563,10183,10276.01,11387.44
2083,207,9,"No","Yes","Yes","Thursday","No","No",363.035,1334.36,4,12098,10222,10378.035,11349.36
1446,203,9,"Yes","Yes","Yes","Saturday","No","Yes",432.41,1557.69,3,11461,10218,10447.41,11572.69
2827,215,0,"Yes","Yes","Yes","Saturday","No","Yes",487.765,1615.19,5,12842,10230,10502.765,11630.19
2108,194,10,"No","Yes","Yes","Sunday","No","Yes",422.97,1597.43,4,12123,10209,10437.97,11612.43
1509,205,10,"No","Yes","Yes","Friday","No","Yes",450.715,1587.31,3,11524,10220,10465.715,11602.31
1293,217,9,"No","No","Yes","Saturday","No","Yes",314.025,1461.83,2,11308,10232,10329.025,11476.83
672,215,11,"No","No","Yes","Saturday","No","Yes",312.86,1369.44,1,10687,10230,10327.86,11384.44
1281,212,9,"No","Yes","Yes","Friday","No","Yes",437.495,1476.27,2,11296,10227,10452.495,11491.27
2301,209,11,"Yes","Yes","Yes","Wednesday","No","No",330.765,1239.63,4,12316,10224,10345.765,11254.63
1026,205,9,"No","Yes","Yes","Tuesday","No","No",305.94,1268.4,2,11041,10220,10320.94,11283.4
1599,176,9,"Yes","Yes","Yes","Friday","Yes","Yes",261.525,1651.82,3,11614,10191,10276.525,11666.82
1825,205,13,"Yes","Yes","Yes","Wednesday","No","No",338.435,1370.49,3,11840,10220,10353.435,11385.49
1875,206,9,"No","Yes","Yes","Friday","No","Yes",402.575,1569.03,3,11890,10221,10417.575,11584.03
1929,212,10,"Yes","Yes","Yes","Monday","No","No",340.535,1233.98,4,11944,10227,10355.535,11248.98
1981,208,8,"No","Yes","Yes","Friday","No","Yes",363.545,1564.03,4,11996,10223,10378.545,11579.03
2292,164,9,"Yes","Yes","Yes","Saturday","Yes","Yes",423.68,1604.16,4,12307,10179,10438.68,11619.16
2343,223,10,"Yes","Yes","Yes","Friday","No","Yes",426.875,1531.08,4,12358,10238,10441.875,11546.08
1507,167,6,"No","Yes","No","Thursday","Yes","No",178.835,1130.66,3,11522,10182,10193.835,11145.66
2869,215,0,"No","Yes","Yes","Saturday","No","Yes",411.565,1633.96,5,12884,10230,10426.565,11648.96
845,214,15,"Yes","Yes","Yes","Tuesday","No","No",324.875,1267.2,2,10860,10229,10339.875,11282.2
2184,209,0,"No","Yes","Yes","Sunday","No","Yes",394.5,1627.29,4,12199,10224,10409.5,11642.29
648,202,11,"Yes","Yes","Yes","Sunday","No","Yes",410.98,1569.56,1,10663,10217,10425.98,11584.56
2353,201,11,"No","Yes","Yes","Sunday","No","Yes",448.095,1623.09,4,12368,10216,10463.095,11638.09
581,210,0,"No","Yes","No","Thursday","No","No",307.645,1158.2,1,10596,10225,10322.645,11173.2
4102,217,10,"No","No","Yes","Saturday","No","Yes",386.07,1575.02,7,14117,10232,10401.07,11590.02
2834,155,0,"No","Yes","No","Sunday","Yes","Yes",282.1,1516.73,5,12849,10170,10297.1,11531.73
1405,202,10,"No","Yes","Yes","Wednesday","No","No",325.865,1305.58,3,11420,10217,10340.865,11320.58
2993,210,9,"No","Yes","Yes","Sunday","No","Yes",421.805,1660.38,5,13008,10225,10436.805,11675.38
805,218,7,"No","No","Yes","Monday","No","No",259.695,1124.61,1,10820,10233,10274.695,11139.61
2008,204,9,"Yes","Yes","Yes","Saturday","No","Yes",349.22,1571.7,4,12023,10219,10364.22,11586.7
782,198,8,"No","No","Yes","Friday","No","Yes",327.44,1492.71,1,10797,10213,10342.44,11507.71
2316,207,13,"No","No","Yes","Wednesday","No","No",311.37,1215.94,4,12331,10222,10326.37,11230.94
2194,224,29,"No","No","Yes","Saturday","No","Yes",356.35,1501.97,4,12209,10239,10371.35,11516.97
1022,203,11,"No","Yes","Yes","Thursday","No","No",357.65,1189.92,2,11037,10218,10372.65,11204.92
2175,195,27,"No","No","Yes","Sunday","No","Yes",339.805,1444.45,4,12190,10210,10354.805,11459.45
1484,211,0,"Yes","Yes","Yes","Thursday","No","No",335.99,1282.96,3,11499,10226,10350.99,11297.96
1994,213,10,"No","No","Yes","Tuesday","No","No",317.91,1239.19,4,12009,10228,10332.91,11254.19
1665,218,6,"No","Yes","Yes","Monday","No","No",352.735,1240,3,11680,10233,10367.735,11255
1322,198,9,"No","Yes","Yes","Sunday","No","Yes",474.44,1544.39,2,11337,10213,10489.44,11559.39
2507,208,12,"No","No","Yes","Monday","No","No",304.205,1202.64,5,12522,10223,10319.205,11217.64
2301,216,11,"No","No","Yes","Sunday","No","Yes",372.435,1535.18,4,12316,10231,10387.435,11550.18
884,210,10,"No","No","Yes","Sunday","No","Yes",366.65,1379.22,2,10899,10225,10381.65,11394.22
2071,212,14,"No","Yes","Yes","Sunday","No","Yes",440.265,1702.9,4,12086,10227,10455.265,11717.9
1844,216,26,"No","No","Yes","Friday","No","Yes",321.46,1471.42,3,11859,10231,10336.46,11486.42
2663,211,12,"No","No","Yes","Monday","No","No",304.055,1239.59,5,12678,10226,10319.055,11254.59
564,218,10,"Yes","Yes","Yes","Sunday","No","Yes",439.12,1484.38,1,10579,10233,10454.12,11499.38
2927,211,14,"Yes","No","Yes","Sunday","No","Yes",377.945,1625.13,5,12942,10226,10392.945,11640.13
819,212,12,"No","Yes","Yes","Sunday","No","Yes",378.325,1504.18,1,10834,10227,10393.325,11519.18
1959,210,10,"Yes","Yes","Yes","Sunday","No","Yes",450.515,1586.97,4,11974,10225,10465.515,11601.97
4033,217,15,"No","No","Yes","Tuesday","No","No",333.935,1213.38,7,14048,10232,10348.935,11228.38
